"Date","Yield from British Government Securities, 10 year Nominal Par Yield              [a] [b]             IUDMNPY"
"15 May 19","1.1507"
"14 May 19","1.143"
"13 May 19","1.1833"
"10 May 19","1.2157"
"09 May 19","1.2027"
"08 May 19","1.1995"
"07 May 19","1.2493"
"03 May 19","1.2554"
"02 May 19","1.2399"
"01 May 19","1.1994"
"30 Apr 19","1.2238"
"29 Apr 19","1.1936"
"26 Apr 19","1.1837"
"25 Apr 19","1.1973"
"24 Apr 19","1.2203"
"23 Apr 19","1.2617"
"18 Apr 19","1.2356"
"17 Apr 19","1.2734"
"16 Apr 19","1.2521"
"15 Apr 19","1.2518"
"12 Apr 19","1.2501"
"11 Apr 19","1.2098"
"10 Apr 19","1.1437"
"09 Apr 19","1.1751"
"08 Apr 19","1.1426"
"05 Apr 19","1.1573"
"04 Apr 19","1.152"
"03 Apr 19","1.1246"
"02 Apr 19","1.0661"
"01 Apr 19","1.097"
"29 Mar 19","1.0945"
"28 Mar 19","1.0626"
"27 Mar 19","1.0505"
"26 Mar 19","1.0827"
"25 Mar 19","1.0267"
"22 Mar 19","1.0644"
"21 Mar 19","1.1147"
"20 Mar 19","1.1766"
"19 Mar 19","1.2264"
"18 Mar 19","1.2236"
"15 Mar 19","1.2467"
"14 Mar 19","1.2641"
"13 Mar 19","1.2431"
"12 Mar 19","1.2099"
"11 Mar 19","1.2029"
"08 Mar 19","1.2228"
"07 Mar 19","1.1893"
"06 Mar 19","1.2573"
"05 Mar 19","1.318"
"04 Mar 19","1.3455"
"01 Mar 19","1.3681"
"28 Feb 19","1.3366"
"27 Feb 19","1.3217"
"26 Feb 19","1.2467"
"25 Feb 19","1.2118"
"22 Feb 19","1.1926"
"21 Feb 19","1.239"
"20 Feb 19","1.2579"
"19 Feb 19","1.2283"
"18 Feb 19","1.2084"
"15 Feb 19","1.2123"
"14 Feb 19","1.1761"
"13 Feb 19","1.2169"
"12 Feb 19","1.2156"
"11 Feb 19","1.1963"
"08 Feb 19","1.1761"
"07 Feb 19","1.2339"
"06 Feb 19","1.2615"
"05 Feb 19","1.2801"
"04 Feb 19","1.2845"
"01 Feb 19","1.2845"
"31 Jan 19","1.2531"
"30 Jan 19","1.3147"
"29 Jan 19","1.3277"
"28 Jan 19","1.3257"
"25 Jan 19","1.3611"
"24 Jan 19","1.3325"
"23 Jan 19","1.3829"
"22 Jan 19","1.3441"
"21 Jan 19","1.3565"
"18 Jan 19","1.4145"
"17 Jan 19","1.3659"
"16 Jan 19","1.2986"
"15 Jan 19","1.2986"
"14 Jan 19","1.3322"
"11 Jan 19","1.3279"
"10 Jan 19","1.3181"
"09 Jan 19","1.3174"
"08 Jan 19","1.3315"
"07 Jan 19","1.2789"
"04 Jan 19","1.326"
"03 Jan 19","1.223"
"02 Jan 19","1.2544"
"31 Dec 18","1.3339"
"28 Dec 18","1.3433"
"27 Dec 18","1.3586"
"24 Dec 18","1.3001"
"21 Dec 18","1.3781"
"20 Dec 18","1.3237"
"19 Dec 18","1.3283"
"18 Dec 18","1.3393"
"17 Dec 18","1.3247"
"14 Dec 18","1.2896"
"13 Dec 18","1.3165"
"12 Dec 18","1.3355"
"11 Dec 18","1.2024"
"10 Dec 18","1.1806"
"07 Dec 18","1.2837"
"06 Dec 18","1.24"
"05 Dec 18","1.32"
"04 Dec 18","1.35"
"03 Dec 18","1.39"
"30 Nov 18","1.43"
"29 Nov 18","1.363"
"28 Nov 18","1.3968"
"27 Nov 18","1.3991"
"26 Nov 18","1.4153"
"23 Nov 18","1.4195"
"22 Nov 18","1.4598"
"21 Nov 18","1.4357"
"20 Nov 18","1.4362"
"19 Nov 18","1.4136"
"16 Nov 18","1.4199"
"15 Nov 18","1.414"
"14 Nov 18","1.5064"
"13 Nov 18","1.5098"
"12 Nov 18","1.4427"
"09 Nov 18","1.4981"
"08 Nov 18","1.559"
"07 Nov 18","1.5254"
"06 Nov 18","1.5248"
"05 Nov 18","1.49"
"02 Nov 18","1.4849"
"01 Nov 18","1.4466"
"31 Oct 18","1.431"
"30 Oct 18","1.3915"
"29 Oct 18","1.386"
"26 Oct 18","1.3604"
"25 Oct 18","1.4282"
"24 Oct 18","1.4422"
"23 Oct 18","1.4729"
"22 Oct 18","1.5105"
"19 Oct 18","1.5514"
"18 Oct 18","1.5494"
"17 Oct 18","1.556"
"16 Oct 18","1.6029"
"15 Oct 18","1.5961"
"12 Oct 18","1.6253"
"11 Oct 18","1.665"
"10 Oct 18","1.7035"
"09 Oct 18","1.667"
"08 Oct 18","1.6623"
"05 Oct 18","1.6887"
"04 Oct 18","1.6409"
"03 Oct 18","1.5466"
"02 Oct 18","1.5234"
"01 Oct 18","1.5615"
"28 Sep 18","1.5588"
"27 Sep 18","1.5745"
"26 Sep 18","1.5763"
"25 Sep 18","1.6082"
"24 Sep 18","1.5851"
"21 Sep 18","1.5326"
"20 Sep 18","1.5678"
"19 Sep 18","1.5856"
"18 Sep 18","1.5375"
"17 Sep 18","1.5092"
"14 Sep 18","1.5006"
"13 Sep 18","1.4798"
"12 Sep 18","1.4616"
"11 Sep 18","1.4687"
"10 Sep 18","1.445"
"07 Sep 18","1.4316"
"06 Sep 18","1.3947"
"05 Sep 18","1.4442"
"04 Sep 18","1.4011"
"03 Sep 18","1.3837"
"31 Aug 18","1.408"
"30 Aug 18","1.43"
"29 Aug 18","1.462"
"28 Aug 18","1.4184"
"24 Aug 18","1.3885"
"23 Aug 18","1.3879"
"22 Aug 18","1.3857"
"21 Aug 18","1.3796"
"20 Aug 18","1.3307"
"17 Aug 18","1.3441"
"16 Aug 18","1.3441"
"15 Aug 18","1.3337"
"14 Aug 18","1.3762"
"13 Aug 18","1.3763"
"10 Aug 18","1.3583"
"09 Aug 18","1.4092"
"08 Aug 18","1.4225"
"07 Aug 18","1.4333"
"06 Aug 18","1.4025"
"03 Aug 18","1.4267"
"02 Aug 18","1.4776"
"01 Aug 18","1.485"
"31 Jul 18","1.4297"
"30 Jul 18","1.4517"
"27 Jul 18","1.3851"
"26 Jul 18","1.3815"
"25 Jul 18","1.3664"
"24 Jul 18","1.3652"
"23 Jul 18","1.3664"
"20 Jul 18","1.3357"
"19 Jul 18","1.292"
"18 Jul 18","1.3326"
"17 Jul 18","1.3662"
"16 Jul 18","1.3984"
"13 Jul 18","1.3783"
"12 Jul 18","1.3805"
"11 Jul 18","1.4014"
"10 Jul 18","1.4015"
"09 Jul 18","1.3783"
"06 Jul 18","1.3656"
"05 Jul 18","1.3599"
"04 Jul 18","1.3804"
"03 Jul 18","1.3479"
"02 Jul 18","1.3613"
"29 Jun 18","1.3821"
"28 Jun 18","1.3627"
"27 Jun 18","1.3582"
"26 Jun 18","1.4041"
"25 Jun 18","1.4071"
"22 Jun 18","1.4188"
"21 Jun 18","1.3849"
"20 Jun 18","1.3996"
"19 Jun 18","1.3883"
"18 Jun 18","1.4259"
"15 Jun 18","1.4168"
"14 Jun 18","1.4247"
"13 Jun 18","1.4568"
"12 Jun 18","1.4903"
"11 Jun 18","1.5071"
"08 Jun 18","1.4948"
"07 Jun 18","1.508"
"06 Jun 18","1.4837"
"05 Jun 18","1.3906"
"04 Jun 18","1.398"
"01 Jun 18","1.3793"
"31 May 18","1.3247"
"30 May 18","1.3266"
"29 May 18","1.3326"
"25 May 18","1.424"
"24 May 18","1.4833"
"23 May 18","1.5159"
"22 May 18","1.5987"
"21 May 18","1.5671"
"18 May 18","1.5767"
"17 May 18","1.6306"
"16 May 18","1.5763"
"15 May 18","1.5884"
"14 May 18","1.5572"
"11 May 18","1.5251"
"10 May 18","1.5025"
"09 May 18","1.544"
"08 May 18","1.517"
"04 May 18","1.4737"
"03 May 18","1.4673"
"02 May 18","1.5263"
"01 May 18","1.4752"
"30 Apr 18","1.4902"
"27 Apr 18","1.5168"
"26 Apr 18","1.5684"
"25 Apr 18","1.6019"
"24 Apr 18","1.603"
"23 Apr 18","1.5854"
"20 Apr 18","1.5558"
"19 Apr 18","1.5733"
"18 Apr 18","1.488"
"17 Apr 18","1.5107"
"16 Apr 18","1.5265"
"13 Apr 18","1.4984"
"12 Apr 18","1.505"
"11 Apr 18","1.4504"
"10 Apr 18","1.4836"
"09 Apr 18","1.4701"
"06 Apr 18","1.46"
"05 Apr 18","1.477"
"04 Apr 18","1.4325"
"03 Apr 18","1.4201"
"29 Mar 18","1.4096"
"28 Mar 18","1.4233"
"27 Mar 18","1.4691"
"26 Mar 18","1.5013"
"23 Mar 18","1.4981"
"22 Mar 18","1.4719"
"21 Mar 18","1.5815"
"20 Mar 18","1.5325"
"19 Mar 18","1.4889"
"16 Mar 18","1.4856"
"15 Mar 18","1.4839"
"14 Mar 18","1.4777"
"13 Mar 18","1.5338"
"12 Mar 18","1.5542"
"09 Mar 18","1.5534"
"08 Mar 18","1.5301"
"07 Mar 18","1.547"
"06 Mar 18","1.5671"
"05 Mar 18","1.537"
"02 Mar 18","1.5064"
"01 Mar 18","1.5152"
"28 Feb 18","1.5533"
"27 Feb 18","1.598"
"26 Feb 18","1.5544"
"23 Feb 18","1.567"
"22 Feb 18","1.5831"
"21 Feb 18","1.5879"
"20 Feb 18","1.6037"
"19 Feb 18","1.6333"
"16 Feb 18","1.6186"
"15 Feb 18","1.6846"
"14 Feb 18","1.6609"
"13 Feb 18","1.6478"
"12 Feb 18","1.6266"
"09 Feb 18","1.6232"
"08 Feb 18","1.6524"
"07 Feb 18","1.572"
"06 Feb 18","1.5482"
"05 Feb 18","1.5946"
"02 Feb 18","1.5997"
"01 Feb 18","1.5581"
"31 Jan 18","1.5281"
"30 Jan 18","1.5055"
"29 Jan 18","1.5053"
"26 Jan 18","1.4876"
"25 Jan 18","1.4627"
"24 Jan 18","1.4641"
"23 Jan 18","1.412"
"22 Jan 18","1.4115"
"19 Jan 18","1.3963"
"18 Jan 18","1.3939"
"17 Jan 18","1.3595"
"16 Jan 18","1.3652"
"15 Jan 18","1.3794"
"12 Jan 18","1.3956"
"11 Jan 18","1.3744"
"10 Jan 18","1.3518"
"09 Jan 18","1.3397"
"08 Jan 18","1.2897"
"05 Jan 18","1.3028"
"04 Jan 18","1.3009"
"03 Jan 18","1.2816"
"02 Jan 18","1.3417"
"29 Dec 17","1.2536"
"28 Dec 17","1.2618"
"27 Dec 17","1.2386"
"22 Dec 17","1.3009"
"21 Dec 17","1.3221"
"20 Dec 17","1.3206"
"19 Dec 17","1.2698"
"18 Dec 17","1.2107"
"15 Dec 17","1.2195"
"14 Dec 17","1.2329"
"13 Dec 17","1.2741"
"12 Dec 17","1.281"
"11 Dec 17","1.2601"
"08 Dec 17","1.3325"
"07 Dec 17","1.307"
"06 Dec 17","1.2838"
"05 Dec 17","1.3122"
"04 Dec 17","1.3302"
"01 Dec 17","1.2725"
"30 Nov 17","1.3711"
"29 Nov 17","1.397"
"28 Nov 17","1.3032"
"27 Nov 17","1.3059"
"24 Nov 17","1.2945"
"23 Nov 17","1.2961"
"22 Nov 17","1.322"
"21 Nov 17","1.3174"
"20 Nov 17","1.3279"
"17 Nov 17","1.3505"
"16 Nov 17","1.3495"
"15 Nov 17","1.3352"
"14 Nov 17","1.3589"
"13 Nov 17","1.3773"
"10 Nov 17","1.3864"
"09 Nov 17","1.3089"
"08 Nov 17","1.2573"
"07 Nov 17","1.2871"
"06 Nov 17","1.3031"
"03 Nov 17","1.31"
"02 Nov 17","1.3079"
"01 Nov 17","1.3905"
"31 Oct 17","1.376"
"30 Oct 17","1.3713"
"27 Oct 17","1.3976"
"26 Oct 17","1.4393"
"25 Oct 17","1.4481"
"24 Oct 17","1.3898"
"23 Oct 17","1.3471"
"20 Oct 17","1.3662"
"19 Oct 17","1.3097"
"18 Oct 17","1.3479"
"17 Oct 17","1.3169"
"16 Oct 17","1.3712"
"13 Oct 17","1.3964"
"12 Oct 17","1.4059"
"11 Oct 17","1.4053"
"10 Oct 17","1.3925"
"09 Oct 17","1.385"
"06 Oct 17","1.3927"
"05 Oct 17","1.4105"
"04 Oct 17","1.393"
"03 Oct 17","1.3809"
"02 Oct 17","1.3526"
"29 Sep 17","1.3828"
"28 Sep 17","1.4052"
"27 Sep 17","1.4059"
"26 Sep 17","1.3611"
"25 Sep 17","1.3593"
"22 Sep 17","1.3876"
"21 Sep 17","1.3923"
"20 Sep 17","1.3584"
"19 Sep 17","1.3585"
"18 Sep 17","1.3343"
"15 Sep 17","1.3491"
"14 Sep 17","1.2535"
"13 Sep 17","1.1833"
"12 Sep 17","1.1825"
"11 Sep 17","1.0796"
"08 Sep 17","1.0343"
"07 Sep 17","0.9998"
"06 Sep 17","1.0439"
"05 Sep 17","1.0564"
"04 Sep 17","1.092"
"01 Sep 17","1.0952"
"31 Aug 17","1.0688"
"30 Aug 17","1.0721"
"29 Aug 17","1.0346"
"25 Aug 17","1.0846"
"24 Aug 17","1.0887"
"23 Aug 17","1.0822"
"22 Aug 17","1.1135"
"21 Aug 17","1.0969"
"18 Aug 17","1.1104"
"17 Aug 17","1.1259"
"16 Aug 17","1.1352"
"15 Aug 17","1.1139"
"14 Aug 17","1.1045"
"11 Aug 17","1.0877"
"10 Aug 17","1.1013"
"09 Aug 17","1.1243"
"08 Aug 17","1.1728"
"07 Aug 17","1.1611"
"04 Aug 17","1.1877"
"03 Aug 17","1.1792"
"02 Aug 17","1.258"
"01 Aug 17","1.2261"
"31 Jul 17","1.2454"
"28 Jul 17","1.2379"
"27 Jul 17","1.2205"
"26 Jul 17","1.2483"
"25 Jul 17","1.2687"
"24 Jul 17","1.2057"
"21 Jul 17","1.198"
"20 Jul 17","1.2354"
"19 Jul 17","1.212"
"18 Jul 17","1.2401"
"17 Jul 17","1.3008"
"14 Jul 17","1.3375"
"13 Jul 17","1.3182"
"12 Jul 17","1.2907"
"11 Jul 17","1.3073"
"10 Jul 17","1.2988"
"07 Jul 17","1.3308"
"06 Jul 17","1.3466"
"05 Jul 17","1.281"
"04 Jul 17","1.2754"
"03 Jul 17","1.2991"
"30 Jun 17","1.284"
"29 Jun 17","1.2716"
"28 Jun 17","1.1851"
"27 Jun 17","1.1178"
"26 Jun 17","1.0623"
"23 Jun 17","1.0655"
"22 Jun 17","1.0507"
"21 Jun 17","1.0567"
"20 Jun 17","1.0409"
"19 Jun 17","1.0639"
"16 Jun 17","1.0588"
"15 Jun 17","1.0745"
"14 Jun 17","0.9862"
"13 Jun 17","1.0702"
"12 Jun 17","1.024"
"09 Jun 17","1.054"
"08 Jun 17","1.0758"
"07 Jun 17","1.024"
"06 Jun 17","1.0286"
"05 Jun 17","1.0885"
"02 Jun 17","1.084"
"01 Jun 17","1.0947"
"31 May 17","1.0607"
"30 May 17","1.0316"
"26 May 17","1.0439"
"25 May 17","1.0709"
"24 May 17","1.0971"
"23 May 17","1.0942"
"22 May 17","1.1071"
"19 May 17","1.1108"
"18 May 17","1.089"
"17 May 17","1.094"
"16 May 17","1.1391"
"15 May 17","1.1491"
"12 May 17","1.116"
"11 May 17","1.1869"
"10 May 17","1.1912"
"09 May 17","1.2207"
"08 May 17","1.1683"
"05 May 17","1.145"
"04 May 17","1.1371"
"03 May 17","1.1005"
"02 May 17","1.1139"
"28 Apr 17","1.1015"
"27 Apr 17","1.0865"
"26 Apr 17","1.1072"
"25 Apr 17","1.1024"
"24 Apr 17","1.0885"
"21 Apr 17","1.0554"
"20 Apr 17","1.0803"
"19 Apr 17","1.0768"
"18 Apr 17","1.0481"
"13 Apr 17","1.0556"
"12 Apr 17","1.0619"
"11 Apr 17","1.0587"
"10 Apr 17","1.0962"
"07 Apr 17","1.0816"
"06 Apr 17","1.0985"
"05 Apr 17","1.0945"
"04 Apr 17","1.0618"
"03 Apr 17","1.0644"
"31 Mar 17","1.122"
"30 Mar 17","1.1171"
"29 Mar 17","1.1504"
"28 Mar 17","1.1838"
"27 Mar 17","1.1695"
"24 Mar 17","1.1944"
"23 Mar 17","1.2142"
"22 Mar 17","1.1631"
"21 Mar 17","1.239"
"20 Mar 17","1.2211"
"17 Mar 17","1.2236"
"16 Mar 17","1.2333"
"15 Mar 17","1.2118"
"14 Mar 17","1.2269"
"13 Mar 17","1.241"
"10 Mar 17","1.2307"
"09 Mar 17","1.2015"
"08 Mar 17","1.2149"
"07 Mar 17","1.1684"
"06 Mar 17","1.195"
"03 Mar 17","1.1764"
"02 Mar 17","1.1882"
"01 Mar 17","1.1749"
"28 Feb 17","1.1227"
"27 Feb 17","1.1345"
"24 Feb 17","1.1391"
"23 Feb 17","1.2115"
"22 Feb 17","1.2621"
"21 Feb 17","1.304"
"20 Feb 17","1.2833"
"17 Feb 17","1.2698"
"16 Feb 17","1.315"
"15 Feb 17","1.366"
"14 Feb 17","1.3686"
"13 Feb 17","1.3494"
"10 Feb 17","1.3265"
"09 Feb 17","1.2911"
"08 Feb 17","1.2828"
"07 Feb 17","1.3494"
"06 Feb 17","1.3797"
"03 Feb 17","1.4169"
"02 Feb 17","1.439"
"01 Feb 17","1.5051"
"31 Jan 17","1.4604"
"30 Jan 17","1.4837"
"27 Jan 17","1.5082"
"26 Jan 17","1.5458"
"25 Jan 17","1.4995"
"24 Jan 17","1.4235"
